label,value
Hepatocyte,10
Bone marrow cell,2
Extraembryonic endoderm stem cell,1
Cerebellum cell,4
Embryonic brain cell,5
Neural progenitor,3
Heart cell,3
Fetal liver erythroblast,1
Pro-B cell,2
Brain cell,1
Neural precursor,1
Induced pluripotent cell,7
Embryonic heart cell,4
Neuronal precursor,4
Testis cell,3
Embryoid body,2
Muscle progenitor,5
Intestinal cell,4
Myoblast,1
Thymus cell,2
Embryonic stem cell,176
Motor neuron progenitor,3
Cortex cell,4
Pre-iPS cell,10
Trophoblast stem cell,2
Olfactory bulb cell,5
Embryonic carcinoma cell,2
T helper2 cell,1
Placenta cell,3
Spleen cell,3
Embryonic limb cell,2
Embryonic fibroblast,14
Secondary fibroblast,2
Lung cell,5
Neural progenitor cell,2
Dermal fibroblast,2
Neural stem cell,4
Liver cell,3
Embryonic liver cell,1
Kidney cell,2
Neuron,7
