Location,value,present,max
122650001,0.936170213,55,4
122650026,0.787234043,47,4
122650051,0.70212766,43,3
122650076,0.617021277,43,3
122650101,0.617021277,34,4
122650126,0.489361702,32,4
122650151,0.340425532,21,4
122650176,0.29787234,21,3
122650201,0.361702128,26,3
122650226,0.425531915,34,3
122650251,0.510638298,34,4
122650276,0.510638298,34,3
122650301,0.489361702,36,2
122650326,0.489361702,32,3
122650351,0.340425532,26,3
122650376,0.063829787,4,2
122650401,0.021276596,2,1
122650426,0.021276596,2,1
122650451,0.042553191,4,1
122650476,0.255319149,19,2
122650501,0.255319149,19,2
122650526,0.085106383,9,1
122650551,0.021276596,2,1
122650576,0,0,0
122650601,0,0,0
122650626,0,0,0
122650651,0,0,0
122650676,0.042553191,2,2
122650701,0.106382979,9,2
122650726,0.234042553,19,2
122650751,0.212765957,17,2
122650776,0,0,0
122650801,0,0,0
122650826,0,0,0
122650851,0,0,0
122650876,0,0,0
122650901,0.021276596,2,1
122650926,0.021276596,2,1
122650951,0.021276596,2,1
122650976,0.042553191,2,2
122651001,0.170212766,13,2
122651026,0.14893617,13,2
122651051,0.106382979,9,2
122651076,0.021276596,2,1
122651101,0,0,0
122651126,0.106382979,6,2
122651151,0.340425532,23,3
122651176,0.404255319,26,4
122651201,0.382978723,28,3
122651226,0.340425532,28,3
122651251,0.29787234,21,2
122651276,0.510638298,32,3
122651301,0.361702128,28,3
122651326,0.106382979,6,2
122651351,0.021276596,2,1
122651376,0.042553191,2,2
122651401,0.042553191,4,1
122651426,0.382978723,30,3
122651451,0.553191489,36,4
122651476,0.638297872,38,4
122651501,0.680851064,45,3
122651526,0.85106383,49,5
122651551,1.106382979,55,5
122651576,0.872340426,53,4
122651601,0.936170213,45,5
122651626,1.127659574,57,5
122651651,1.510638298,68,5
122651676,1.361702128,66,7
122651701,1.382978723,68,6
122651726,0.829787234,47,5
122651751,0.191489362,15,2
122651776,0.063829787,4,2
122651801,0.106382979,6,2
122651826,0.14893617,11,2
122651851,0.468085106,34,3
122651876,0.978723404,51,4
122651901,1.127659574,51,5
122651926,1.085106383,55,8
122651951,1.276595745,53,6
122651976,1.446808511,53,11
122652001,1.574468085,57,14
122652026,1.893617021,62,17
122652051,2.319148936,72,17
122652076,2.468085106,77,15
122652101,2.382978723,74,17
122652126,2.85106383,68,24
122652151,3.106382979,74,30
122652176,2.85106383,77,19
122652201,2.872340426,64,14
122652226,2.574468085,70,14
122652251,2.893617021,72,15
122652276,2.936170213,68,12
122652301,3.14893617,70,15
122652326,3.191489362,64,17
122652351,2.617021277,51,19
122652376,2.531914894,57,18
122652401,3.744680851,70,19
122652426,4.638297872,74,25
122652451,6.106382979,70,38
122652476,7.595744681,77,51
122652501,8.978723404,77,64
122652526,10.63829787,77,66
122652551,10.91489362,81,60
122652576,10.68085106,81,61
122652601,11,79,60
122652626,11.57446809,79,67
122652651,11.55319149,83,85
122652676,11.74468085,81,98
122652701,10.29787234,74,79
122652726,9.659574468,77,63
122652751,9.85106383,81,64
122652776,8.680851064,79,62
122652801,7.829787234,74,51
122652826,8.14893617,83,46
122652851,8.489361702,79,46
122652876,8.744680851,72,62
122652901,9.425531915,77,69
122652926,9.574468085,81,64
122652951,10.25531915,85,65
122652976,9.531914894,85,66
122653001,9.063829787,77,81
122653026,9.638297872,72,91
122653051,8.893617021,72,77
122653076,8.255319149,74,59
122653101,8.489361702,77,56
122653126,7.914893617,72,52
122653151,6.510638298,66,44
122653176,4.85106383,64,39
122653201,4.638297872,77,31
122653226,4.063829787,79,26
122653251,3.212765957,66,24
122653276,1.914893617,55,15
122653301,0.936170213,30,9
122653326,0.723404255,28,13
122653351,1.765957447,49,19
122653376,2.489361702,55,23
122653401,2.170212766,57,25
122653426,2.617021277,64,29
122653451,2.723404255,72,28
122653476,2.808510638,72,33
122653501,2.85106383,74,35
122653526,3.14893617,74,33
122653551,2.957446809,68,31
122653576,3,70,24
122653601,2.574468085,66,19
122653626,2.829787234,72,17
122653651,2.872340426,66,17
122653676,2.85106383,57,21
122653701,2.553191489,64,19
122653726,2.212765957,57,16
122653751,1.978723404,64,14
122653776,1.680851064,57,11
122653801,1.617021277,57,8
122653826,1.765957447,57,12
122653851,2.255319149,70,13
122653876,2.29787234,68,16
122653901,2.14893617,60,15
122653926,1.617021277,55,10
122653951,1.617021277,62,10
